"1869/03/04","","Day","03/04/1869: Ulysses S. Grant, the Civil War hero and Republica…","Ulysses S. Grant, the Civil War hero and Republican candidate, is inaugurated as the eighteenth President of the United States.","Ulysses S. Grant"
"1869/05/10","","Day","05/10/1869: The first transcontinental railroad is completed a…","The first transcontinental railroad is completed at Promontory Point, Utah, through the work of the Union Pacific and Central Pacific track crews. ","Ulysses S. Grant"
"1869/09/24","","Day","09/24/1869: The “Black Friday” financial panic takes place in …","The “Black Friday” financial panic takes place in New York City.  The panic results from the efforts of two railroad entrepreneurs, Jay Gould and James Fisk, Jr., to corner the gold market. Gould and Fisk, along with President Grant's brother-in-law, frame their argument by claiming that if the government refrains from selling gold, its value will increase and improve depressed farm prices. A suspicious Grant finally orders a large sale of $4 million in gold, ruining many speculators. The gold plot is the first of several scandals to take place during the Grant years. ","Ulysses S. Grant"
"1869/11/29","","Day","11/29/1869: President Grant's military aide and private secret…","President Grant's military aide and private secretary Orville Babcock signs a treaty to annex Santo Domingo of the West Indies, and a second document to lease Samana Bay. The Senate defeats the annexation treaty on June 30, 1870, and never votes on the Samana Bay treaty. ","Ulysses S. Grant"
"1870/01/02","","Day","01/02/1870: Construction of the Brooklyn Bridge begins. It wil…","Construction of the Brooklyn Bridge begins. It will be the longest suspension bridge in the world when completed thirteen years later. ","Ulysses S. Grant"
"1870/01/11","","Day","01/11/1870: Grant vetoes the Private Relief Bill and will cont…","Grant vetoes the Private Relief Bill and will continue to veto many additional relief bills during his two terms. ","Ulysses S. Grant"
"1870/01/26","","Day","01/26/1870: Virginia is readmitted to the Union after completi…","Virginia is readmitted to the Union after completing its reconstruction. ","Ulysses S. Grant"
"1870/02/09","","Day","02/09/1870: The United States Weather Bureau is established. O…","The United States Weather Bureau is established. Originally, the Bureau is part of the Signal Corps. ","Ulysses S. Grant"
"1870/02/23","","Day","02/23/1870: Mississippi is readmitted to the Union. …","Mississippi is readmitted to the Union. ","Ulysses S. Grant"
"1870/03/30","","Day","03/30/1870: Texas is readmitted to the Uni…","Texas is readmitted to the Union. ","Ulysses S. Grant"
"1870/03/30","","Day","03/30/1870: Black male suffrage becomes universal when the Fif…","Black male suffrage becomes universal when the Fifteenth Amendment -- stipulating that no state shall deprive any citizen of the right to vote because of “race, color, or previous condition of servitude” -- is adopted with Grant's help and approval. The suffrage amendment is only partially successful. During Reconstruction, black men vote frequently; following Reconstruction, however, whites use discriminatory laws and taxes to disenfranchise black men. ","Ulysses S. Grant"
"1870/05/24","","Day","05/24/1870: Grant issues a proclamation against the attempts o…","Grant issues a proclamation against the attempts of the Fenian Brotherhood to damage Anglo-United States relations by attacking Canada. The next day, the Fenian Army of Vermont attempts to invade Canada but is driven back. The British government agrees to handle compensation for Canada in the Treaty of Washington in 1871, which will be signed by both nations on May 8, 1871. ","Ulysses S. Grant"
"1870/05/31","","Day","05/31/1870: Congress makes it a federal crime to deprive anyon…","Congress makes it a federal crime to deprive anyone of his civil or political rights by interfering with the right to vote. It is the first of three such enforcement acts the legislature will pass. The act is designed to allow the federal government to take action against the Ku Klux Klan when local authorities fail to prosecute crimes. The KKK, organized in 1866 in Pulaski, Tennessee, employs harassment and terror to dissuade African-Americans from voting. ","Ulysses S. Grant"
"1870/06/22","","Day","06/22/1870: Congress passes an act creating a Department of Ju…","Congress passes an act creating a Department of Justice under the direction of an attorney general. ","Ulysses S. Grant"
"1870/07/14","","Day","07/14/1870: A new tariff is passed following debates about tar…","A new tariff is passed following debates about tariff reduction. The new law maintains most existing protectionist features. ","Ulysses S. Grant"
"1871/02/28","","Day","02/28/1871: The Federal Election Law passes, calling for feder…","The Federal Election Law passes, calling for federal supervision of elections in cities with populations greater than 20,000. The act is designed to ensure fair treatment of black voters in the South and is the second of three enforcement acts. ","Ulysses S. Grant"
"1871/03/03","","Day","03/03/1871: An Indian Appropriation Act is passed with an amen…","An Indian Appropriation Act is passed with an amendment ending tribal recognition and the treaty system. All Indians are made wards of the state. ","Ulysses S. Grant"
"1871/03/04","","Day","03/04/1871: Grant establishes the first civil service commissi…","Grant establishes the first civil service commission. Without additional appropriations from Congress, however, the commission is rendered ineffective. ","Ulysses S. Grant"
"1871/04/20","","Day","04/20/1871: The third of the Enforcement Acts, the Ku Klux Kla…","The third of the Enforcement Acts, the Ku Klux Klan Act, is passed to enforce the Fourteenth Amendment in the South. It outlaws activities such as wearing disguises, forming conspiracies, and intimidating officials. Grant has worked extensively to secure such legislation to fight the Klan and uses the provisions of the act to ensure fairness in the election of 1872. ","Ulysses S. Grant"
"1881/05/08","","Day","05/08/1881: The Treaty of Washington is signed between the Uni…","The Treaty of Washington is signed between the United States and Britain, initiating friendly relations between the two nations. The treaty provides for an arbitration procedure to settle the <i>Alabama</i> claims, in which the United States demands that Britain pay for damages to American shipping during the Civil War caused by Confederate vessels built and equipped in England. The treaty also renews Canadian-American fishing arrangements. ","Ulysses S. Grant"
"1871/09/04","","Day","09/04/1871: A citizen's commission is formed in New York to in…","A citizen's commission is formed in New York to investigate corruption at William M. “Boss” Tweed's Tammany Hall. A major political power in the city since its formation in 1789, the organization had been associated with bribery and fraud. Tammany's dedication to the city's lower classes and immigrants explains its endurance on the political scene. ","Ulysses S. Grant"
"1871/10/08","1871/10/11","Day","10/08/1871: The city of Chicago is nearly burned to the ground…","The city of Chicago is nearly burned to the ground in one of the worst disasters in U.S. history. The rise of skyscrapers, as part of the city's rebuilding project, marks an innovation in urban architecture. ","Ulysses S. Grant"
"1871/10/12","","Day","10/12/1871: Grant issues a proclamation against the Ku Klux Kl…","Grant issues a proclamation against the Ku Klux Klan in South Carolina. ","Ulysses S. Grant"
"1872/03/10","","Day","03/10/1872: Grant appoints a special Interoceanic Canal Commis…","Grant appoints a special Interoceanic Canal Commission to determine the best of three proposed canal plans connecting the Atlantic with the Pacific. In February 1876, the commission reports in favor of a route through Nicaragua. ","Ulysses S. Grant"
"1872/04/15","","Day","04/15/1872: Grant becomes the first President to veto a Privat…","Grant becomes the first President to veto a Private Pension Bill. He will veto five such bills while in office. ","Ulysses S. Grant"
"1872/06/05","1872/06/06","Day","06/05/1872: The Republican National Convention nominates Grant…","The Republican National Convention nominates Grant for reelection and Senator Henry Wilson for vice president. ","Ulysses S. Grant"
"1872/07/09","","Day","07/09/1872: The Democratic National Convention nomin…","The Democratic National Convention nominates <i>New York Tribune</i> editor Horace Greeley for President and Missouri Governor Benjamin Gratz Brown for vice president. An avid reformer, Greeley is first approved by Liberal Republicans who favor free trade, civil service reform, and the restoration of former Confederates' rights. The Democratic Party opts to endorse Greeley as the only candidate who can possibly defeat Grant and the Radical Republicans. ","Ulysses S. Grant"
"1872/09/14","","Day","09/14/1872: After a meeting in Geneva, the five-person arbitra…","After a meeting in Geneva, the five-person arbitration panel established by the Treaty of Washington issues its report. The panel dismisses the “indirect claims” first proposed by irate Senator Charles Sumner. Secretary of State Hamilton Fish had expected this rejection and submitted claims to the panel in order to settle the issue and silence Sumner. The panel does, however, require that Britain pay the United States $15.5 million in gold. The payment is made within one year without protest. ","Ulysses S. Grant"
"1872/11/05","","Day","11/05/1872: Grant is reelected in the largest popular-majority…","Grant is reelected in the largest popular-majority victory for a Republican in the nineteenth century. He wins 55.6 percent of the popular vote and 214 electoral votes to Greeley's 80. The result is more an expression of dislike for Greeley than support for Grant. ","Ulysses S. Grant"
"1873/01/06","","Day","01/06/1873: The House of Representatives adopts a resolution t…","The House of Representatives adopts a resolution to investigate the relations of Credit Mobilier in conjunction with the Union Pacific Railroad. In 1872, the <i>New York Sun</i> published the story of a scandal in which Union Pacific Railroad directors used the dummy Credit Mobilier Corporation to pay themselves from the railroad treasury; additionally they had bribed congressmen to avoid an investigation. Thirteen Senators are involved, although only two receive censure. ","Ulysses S. Grant"
"1873/02/12","","Day","02/12/1873: A coinage act passed by Congress omits silver curr…","A coinage act passed by Congress omits silver currency due to scarcity. When Nevada mines begin producing greater quantities of silver, they demand renewed coinage, referring to the coinage act as the “Crime of '73.” ","Ulysses S. Grant"
"1873/02/27","","Day","02/27/1873: A House resolution censures Oakes Ames of Massachu…","A House resolution censures Oakes Ames of Massachusetts and James Brooks of New York for connections with the Credit Mobilier scandal. ","Ulysses S. Grant"
"1873/03/03","","Day","03/03/1873: Congress passes an appropriations bill raising sen…","Congress passes an appropriations bill raising senior government salaries and providing two years' back pay for members of Congress. The “back-pay grab” or “salary grab bill” generates significant public criticism of Congress. ","Ulysses S. Grant"
