"1881-03-04 12:00 PM","","No","Day","03/04/1881: A self-made man, Republican James A. Garfield is s…","A self-made man, Republican James A. Garfield is sworn in as the twentieth President of the United States. Garfield served in the Union Army and in the House of Representatives before running for President. Winning the popular election by an very small margin -- only 10,000 votes -- Garfield owes his success partially to New York political boss and Senator William Conkling. In return, Garfield pledges to consult Conkling on government nominations.","Ulysses S. Grant"
"1881-03-05 12:00 PM","","No","Day","03/05/1881: Garfield completes his slate of cabinet members, n…","Garfield completes his slate of cabinet members, naming James G. Blaine as secretary of state and Abraham Lincoln's son, Robert, as secretary of war. Garfield angers Conkling with his nomination of William Windom of Minnesota, a non-Eastern man, as secretary of treasury. Further, Garfield denies Conkling influence in New York politics by appointing William H. Robertson as collector of the port of New York and Thomas L. James postmaster of New York. ","Ulysses S. Grant"
"1881-03-22 12:00 PM","","No","Day","03/22/1881: Garfield sends his list of nominations to the Sena…","Garfield sends his list of nominations to the Senate, which includes New York senator Conkling's contingent. Conkling will continue to be a source of conflict for the President. ","Ulysses S. Grant"
"1881-03-23 12:00 PM","","No","Day","03/23/1881: Garfield removes E. A. Meritt from the collectorsh…","Garfield removes E. A. Meritt from the collectorship of the New York Customhouse after Conkling feels assured that the President would not make any such changes. Garfield then sends W. H. Robertson's name to the Senate as his replacement, intensifying the struggle between Garfield and Conkling. ","Ulysses S. Grant"
"1881-05-04 12:00 PM","","No","Day","05/04/1881: A Democratic filibuster, which ties up the Senate …","A Democratic filibuster, which ties up the Senate beginning March 23, ends when Garfield agrees to remove certain appointments. The end of the filibuster allows Garfield to push for Robertson's confirmation to the New York Customhouse. Earlier, Senator Conkling threatens to publish the Hubbell letter, which appears to link Garfield to the Star Route Scandal, a scheme to skim money from the U.S. Post Office. The link is not a significant one, however, and the publication of the letter proves more damaging to Conkling than Garfield. ","Ulysses S. Grant"
"1881-05-05 12:00 PM","","No","Day","05/05/1881: On the eve of the senatorial vote on the New York …","On the eve of the senatorial vote on the New York nominees, Garfield learns that Conkling intends to delay action on other nominees and moves for adjournment before Robertson can be considered. Garfield removes all of his nominations with the exception of Robertson. ","Ulysses S. Grant"
"1881-05-16 12:00 PM","","No","Day","05/16/1881: New York senators Roscoe Conkling and Tom Platt re…","New York senators Roscoe Conkling and Tom Platt resign to protest Garfield's removal of New York nominees to secure Robertson's confirmation. ","Ulysses S. Grant"
"1881-05-18 12:00 PM","","No","Day","05/18/1881: The Senate confirms Robertson as collector of cust…","The Senate confirms Robertson as collector of customs for the port of New York. ","Ulysses S. Grant"
"1881-05-21 12:00 PM","","No","Day","05/21/1881: Clara Barton organizes the American Association of…","Clara Barton organizes the American Association of the Red Cross, modeled after the International Red Cross, in Washington, D.C. Barton serves as the organization's volunteer president until 1904. ","Ulysses S. Grant"
"1881-07-02 12:00 PM","","No","Day","07/02/1881: Charles J. Guiteau, a mentally unstable Stalwart a…","Charles J. Guiteau, a mentally unstable Stalwart attorney who had been denied a consular post, shoots Garfield in a Washington railroad station. “I am a stalwart,” Guiteau proclaims. “Arthur is now President of the United States.” ","Ulysses S. Grant"
"1881-07-04 12:00 PM","","No","Day","07/04/1881: Established in 1880, the Normal School for Colored…","Established in 1880, the Normal School for Colored Teachers, now Tuskegee University, officially opens its doors in Tuskegee, Alabama. Dr. Booker T. Washington serves as the school's first president. ","Ulysses S. Grant"
"1881-09-19 12:00 PM","","No","Day","09/19/1881: James Garfield dies from blood poisoning and compl…","James Garfield dies from blood poisoning and complications after surgeons search endlessly to find the lost bullet in his back, lodged in his pancreas. Vice President Chester A. Arthur becomes the twenty-first President of the United States The assassin, Guiteau, will be hanged on June 30, 1882. ","Ulysses S. Grant"
