
"2000/11/07","","Day","Americans votes in the 2000 presidential election. Vote differentials in several states are exceedingly close, with the Democratic and Republican candidates disputing many of those counts, leaving the final result inconclusive.","George W. Bush"
"2000/12/12","","Day","In a 5-4 ruling, the U.S. Supreme Court stops the recount of votes in several contested Florida counties. The Democratic candidate, Vice President Albert Gore Jr., concedes the election, leaving Governor George W. Bush of Texas, the Republican candidate, as President-elect.","George W. Bush"
"2001/01/20","","Day","George W. Bush is inaugurated as the 43rd President of the United States. He is the second son of a President to occupy the Oval Office, the first being John Quincy Adams in 1825.","George W. Bush"
"2001/01/22","","Day","In one of his first policy decisions, President Bush decides to reinstate the ban on aid to international groups performing or counseling on abortion. The ban was initiated by former President Ronald Reagan but is not enforced during the administration of President Bill Clinton.","George W. Bush"
"2001/01/29","","Day","By executive order, President Bush creates the Office of Faith-Based and Community Initiatives. The new office will work to ease regulations on religious charities and promote grass-roots efforts to tackle community issues such as aid to the poor and disadvantaged.","George W. Bush"
"2001/02/16","","Day","United States airplanes attack Iraqi radar sites to enforce a &ldquo;no-fly zone.&rdquo; Bush calls the military action a &ldquo;routine mission.&rdquo;","George W. Bush"
"2001/03/29","","Day","The Bush administration affirms its decision to abandon ratification of the Kyoto Protocol, an international treaty signed by 180 countries to reduce global warming that set limits on industrial emissions.","George W. Bush"
"2001/04/01","","Day","A U.S. spy plane flying over the South China Sea is clipped by a Chinese fighter jet, forcing the American plane to make an emergency landing on Chinese soil. The incident strains diplomatic ties between the two nations as the United States demands that China return both the plane and its crew to American authorities.","George W. Bush"
"2001/04/04","","Day","The Miami Herald and USA Today release a comprehensive review of the 2000 presidential election recount efforts in Florida. The review shows that even if Democratic candidate Al Gore had succeeded in getting the recounts he wanted, President Bush would have won Florida by 1,665 votes.","George W. Bush"
"2001/04/25","","Day","President Bush signals a change in relations with China by officially pledging military support for Taiwan in the event of an attack by China. This is the first time a presidential administration has publicly acknowledged a position that had previously been implicitly accepted.","George W. Bush"
"2001/06/07","","Day","President Bush signs a $1.35 trillion tax cut into law. Although the amount falls short of the $1.60 trillion the administration has been seeking, the bill does slash income tax rates across the board and provides for the gradual elimination of the estate tax.","George W. Bush"
"2001/08/09","","Day","President Bush addresses the nation, outlining his plans for the federal funding of stem cell research. The new policy allows for government funding of research on already extracted stem cells but prohibits the extraction of additional stem cells from human embryos.","George W. Bush"
"2001/09/11","","Day","Terrorists hijack four commercial jets and crash them into the World Trade Center in New York City, the Pentagon in Washington, D.C., and the Pennsylvania countryside. It is the worst attack on American soil since Pearl Harbor, with fatalities numbering about 3,000. Addressing the nation twelve hours after the attacks, President Bush vows to hunt down those responsible. ","George W. Bush"
