"1901-09-14 12:00 PM","","No","Day","09/14/1901: Vice President Theodore Roosev…","Vice President Theodore Roosevelt (TR) takes the oath of office in Buffalo, New York, after President William McKinley is assassinated. Roosevelt becomes the twenty-sixth President of the United States and the youngest President yet at 43 years old. Roosevelt's succession appalls Republicans who blanched at his liberal leanings; TR was nominated for the vice presidency in 1900 partly because Republican leaders were attempting to relegate him to a harmless position.","Theodore Roosevelt"
"1901-10-16 12:00 PM","","No","Day","10/16/1901: TR dines with Booker T. Washington at the White Ho…","TR dines with Booker T. Washington at the White House.","Theodore Roosevelt"
"1901-11-18 12:00 PM","","No","Day","11/18/1901: The United States and Great Britain sign the Hay-P…","The United States and Great Britain sign the Hay-Pauncefote Treaty, by which the British grant control of an isthmian canal to the United States. The Senate would ratify Hay-Pauncefote on December 16, thereby abrogating the Clayton-Bulwer Treaty of 1850.","Theodore Roosevelt"
"1902-04-29 12:00 PM","","No","Day","04/29/1902: Congress extends the Chinese Exclusion Act, prohib…","Congress extends the Chinese Exclusion Act, prohibiting the immigration of Chinese laborers from the Philippines.","Theodore Roosevelt"
"1902-05-12 12:00 PM","","No","Day","05/12/1902: A coal-miners strike begins in Pennsylvania, durin…","A coal-miners strike begins in Pennsylvania, during the course of which 140,000 workers would leave their jobs. ","Theodore Roosevelt"
"1902-05-22 12:00 PM","","No","Day","05/22/1902: The President establishes Crater Lake National Par…","The President establishes Crater Lake National Park in Oregon. ","Theodore Roosevelt"
"1902-06-17 12:00 PM","","No","Day","06/17/1902: TR signs the Newlands Reclamation Act, thereby aut…","TR signs the Newlands Reclamation Act, thereby authorizing federal irrigation projects. ","Theodore Roosevelt"
"1902-06-28 12:00 PM","","No","Day","06/28/1902: Congress passes the Isthmian Canal Act, which call…","Congress passes the Isthmian Canal Act, which called for the funding and building of a canal across the Isthmus of Panama. ","Theodore Roosevelt"
"1902-07-01 12:00 PM","","No","Day","07/01/1902: Congress passes the Philippine Government Act, est…","Congress passes the Philippine Government Act, establishing the Philippine Islands as an unorganized territory and all inhabitants as territorial citizens. ","Theodore Roosevelt"
"1902-09-02 12:00 PM","","No","Day","09/02/1902: While emphasizing the need for a strong foreign po…","While emphasizing the need for a strong foreign policy, Roosevelt talks of the need to “Speak softly and carry a big stick.” The saying catches the fancy of the whole nation, and the “big stick” becomes a favorite object of political cartoonists. ","Theodore Roosevelt"
"1902-10-01 12:00 PM","","No","Month","10/1902: TR plays a key role in settling the Anthracite Coa…","TR plays a key role in settling the Anthracite Coal Strike. During the spring of 1902, laborers tied to the United Mine Workers union had walked off the job in the hard coal mines of Pennsylvania. The prospect of coal shortages in the winter months loomed, and TR decided that public interest demanded vigorous executive action.  Roosevelt summoned union leaders and mine operators to the White House, a significant gesture for both his presidency and for the development of his reform program, known as the “Square Deal.” The coal strike ended on October 21. ","Theodore Roosevelt"
"1902-11-04 12:00 PM","","No","Day","11/04/1902: In congressional elections, the Republicans mainta…","In congressional elections, the Republicans maintain a majority in the Senate, 57 to 33. In the House, the Republicans emerge with a 208-178 majority. ","Theodore Roosevelt"
"1903-02-14 12:00 PM","","No","Day","02/14/1903: Roosevelt signs a bill creating the Department of …","Roosevelt signs a bill creating the Department of Commerce and Labor, the ninth Cabinet office, which will itself emerge as two separate departments in 1913.","Theodore Roosevelt"
"1903-02-19 12:00 PM","","No","Day","02/19/1903: Congress approves the Elkins Anti-Rebate Act, maki…","Congress approves the Elkins Anti-Rebate Act, making it illegal for railroads to give rebates on their published freight rates. The Elkins Act is a response to railroads engaging in business practices that gave certain shippers and certain areas a marked advantage. It would fall short of regulating railroads sufficiently; the Hepburn Act would have to be instituted three years later to further that cause. ","Theodore Roosevelt"
"1903-02-19 12:00 PM","","No","Day","02/19/1903: The Department of Justice announces that the feder…","The Department of Justice announces that the federal government would prosecute the Northern Securities Company (a subsidiary of J.P. Morgan) for violating the Sherman Antitrust Act. ","Theodore Roosevelt"
"1903-02-23 12:00 PM","","No","Day","02/23/1903: The Supreme Court hands down a decision …","The Supreme Court hands down a decision in <i>Champion v. Ames</i>, making federal police power superior to that of the states. The ruling became the basis for the future federal regulation of food, drugs, and narcotics. ","Theodore Roosevelt"
"1903-03-14 12:00 PM","","No","Day","03/14/1903: Roosevelt proclaims Pelican Island, Florida, as th…","Roosevelt proclaims Pelican Island, Florida, as the first federal bird reservation. ","Theodore Roosevelt"
"1903-03-18 12:00 PM","","No","Day","03/18/1903: The Report of the Anthracite Coal Strike Commissio…","The Report of the Anthracite Coal Strike Commission, appointed by TR to investigate the mining industry, declares that workers cannot be discriminated against because they belong to a union. ","Theodore Roosevelt"
"1903-11-03 12:00 PM","","No","Day","11/03/1903: A revolt breaks out in Panama against Colombian ru…","A revolt breaks out in Panama against Colombian rule. The uprising is sponsored by Panamanian agents and officers of the Panama Canal Company, with tacit permission of the Roosevelt administration. The presence of the American Navy prevents Colombia from crushing the revolt. ","Theodore Roosevelt"
"1903-11-06 12:00 PM","","No","Day","11/06/1903: The United States recognizes the Republic of Panam…","The United States recognizes the Republic of Panama. ","Theodore Roosevelt"
"1903-11-18 12:00 PM","","No","Day","11/18/1903: The United States negotiates the Hay-Buneau-Varill…","The United States negotiates the Hay-Buneau-Varilla Treaty with Panama to build the Panama Canal. The treaty gives the United States control of a ten-mile-wide canal zone in return for $10,000,000 in gold plus a yearly fee of $250,000. ","Theodore Roosevelt"
"1904-01-04 12:00 PM","","No","Day","01/04/1904: The Supreme Court rules that citizens of Puerto Ri…","The Supreme Court rules that citizens of Puerto Rico are not aliens and therefore cannot be denied entry to the continental United States. But the Court also holds that they are not U.S. citizens. ","Theodore Roosevelt"
"1904-02-29 12:00 PM","","No","Day","02/29/1904: TR appoints the Panama Canal Commission to oversee…","TR appoints the Panama Canal Commission to oversee the construction of the Panama Canal.","Theodore Roosevelt"
"1904-03-14 12:00 PM","","No","Day","03/14/1904: In accordance with the Sherman Anti-Trust Act, the…","In accordance with the Sherman Anti-Trust Act, the Supreme Court, in <i>Northern Securities Company v. United States</i>, orders the dissolution of the Northern Securities Company. The decision is major victory for TR and his belief in the necessity of trust-busting.","Theodore Roosevelt"
