"1973-10-10 12:00 PM","","No","Day","10/10/1973: Vice President Spiro T. Agnew resigns, p…","Vice President Spiro T. Agnew resigns, pleading <em>nolo contendre</em> to a charge of income tax evasion.","Gerald Ford"
"1973-10-11 12:00 PM","","No","Day","10/11/1973: President Richard Nixon offers Gerald Ford the nom…","President Richard Nixon offers Gerald Ford the nomination for vice president. Ford accepts.","Gerald Ford"
"1973-12-06 12:00 PM","","No","Day","12/06/1973: Ford is sworn in as vice president in the House ch…","Ford is sworn in as vice president in the House chamber. Ford remarks that he is a “Ford, not a Lincoln.”","Gerald Ford"
"1974-08-08 12:00 PM","","No","Day","08/08/1974: In a televised address to the nation, Richard M. N…","In a televised address to the nation, Richard M. Nixon resigns the presidency.","Gerald Ford"
"1974-08-09 12:00 PM","","No","Day","08/09/1974: Gerald R. Ford is sworn in as the thirty-eighth Pr…","Gerald R. Ford is sworn in as the thirty-eighth President of the United States.","Gerald Ford"
"1974-08-12 12:00 PM","","No","Day","08/12/1974: Ford speaks to a joint session of Congress regardi…","Ford speaks to a joint session of Congress regarding inflation.","Gerald Ford"
"1974-08-19 12:00 PM","","No","Day","08/19/1974: Ford selects Nelson A. Rockefeller, the former Gov…","Ford selects Nelson A. Rockefeller, the former Governor of New York, as his vice president.","Gerald Ford"
"1974-08-28 12:00 PM","","No","Day","08/28/1974: Ford holds his first press conference as President…","Ford holds his first press conference as President. When questioned about the possibility of a pardon for former President Nixon, he replies that he is "not ruling it out."","Gerald Ford"
"1974-09-08 12:00 PM","","No","Day","09/08/1974: Ford grants Richard Nixon a fu…","Ford grants Richard Nixon a full pardon; his approval rating slips to 49 percent.","Gerald Ford"
"1974-09-16 12:00 PM","","No","Day","09/16/1974: The government announces a clemency whereby draft …","The government announces a clemency whereby draft evaders and military deserters could “earn their return to the mainstream of American society” by performing alternative services.","Gerald Ford"
"1974-09-28 12:00 PM","","No","Day","09/28/1974: First Lady Betty Ford undergoes surgery for breast…","First Lady Betty Ford undergoes surgery for breast cancer (mastectomy).","Gerald Ford"
"1974-09-30 12:00 PM","","No","Day","09/30/1974: Ford forms the Economic Policy Board, which will o…","Ford forms the Economic Policy Board, which will oversee all aspects of economic policy.","Gerald Ford"
"1974-10-08 12:00 PM","","No","Day","10/08/1974: Ford speaks to a joint session of Congress. He cal…","Ford speaks to a joint session of Congress. He calls for a temporary 5 percent tax hike, cuts in federal spending, and the creation of a voluntary inflation-fighting organization, named “Whip Inflation Now” (WIN).","Gerald Ford"
"1974-10-15 12:00 PM","","No","Day","10/15/1974: Ford signs the Federal Elections Campaign Act of 1…","Ford signs the Federal Elections Campaign Act of 1974, the most significant attempt at campaign finance reform since the 1920s.","Gerald Ford"
"1974-11-05 12:00 PM","","No","Day","11/05/1974: In the off-year elections, Democrats are victoriou…","In the off-year elections, Democrats are victorious all over the country. They gain 43 House seats and 3 Senate seats, giving them a majority in both Houses of Congress. They also gain 4 governorships.","Gerald Ford"
"1974-11-11 12:00 PM","","No","Day","11/11/1974: The President announces his “WIN” campai…","The President announces his “WIN” campaign (Whip Inflation Now).","Gerald Ford"
"1974-11-17 12:00 PM","","No","Day","11/17/1974: Ford makes a visit to Japan, the first by an Ameri…","Ford makes a visit to Japan, the first by an American President.","Gerald Ford"
"1974-11-21 12:00 PM","","No","Day","11/21/1974: The Freedom of Information Act is passed over Ford…","The Freedom of Information Act is passed over Ford's veto. It provides expanded access to government files and allows secrecy classifications to be challenged in court and justified by the appropriate federal authorities.","Gerald Ford"
"1974-12-19 12:00 PM","","No","Day","12/19/1974: By a vote of 287-128, the House confirms Nelson A.…","By a vote of 287-128, the House confirms Nelson A. Rockefeller as vice president; he is later sworn into office.","Gerald Ford"
"1975-01-01 12:00 PM","","No","Day","01/01/1975: Ford signs the Privacy Act of 1974, ensuring the r…","Ford signs the Privacy Act of 1974, ensuring the right of Americans to individual privacy.","Gerald Ford"
"1975-01-04 12:00 PM","","No","Day","01/04/1975: Ford announces the creation of a presidential comm…","Ford announces the creation of a presidential commission to review abuses by the Central Intelligence Agency (“The Rockefeller Commission”).","Gerald Ford"
"1975-01-13 12:00 PM","","No","Day","01/13/1975: In his State of the Union Address, Ford proposes a…","In his State of the Union Address, Ford proposes a $16 billion tax cut. ","Gerald Ford"
"1975-03-11 12:00 PM","","No","Day","03/11/1975: The Commission on Civil Rights reports that the pr…","The Commission on Civil Rights reports that the proportion of blacks in mostly white schools was higher in the South than in the North.","Gerald Ford"
"1975-03-27 12:00 PM","","No","Day","03/27/1975: Following the fall of the city of Ban Me Thout, Hu…","Following the fall of the city of Ban Me Thout, Hue, and Danang, the city of Saigon falls to the North Vietnamese. The Ford administration evacuates remaining Americans and troops from the capital city.","Gerald Ford"
"1975-03-29 12:00 PM","","No","Day","03/29/1975: Ford tells the nation he will reluctantly sign the…","Ford tells the nation he will reluctantly sign the Tax Reduction Act of 1975, which calls for a $22.8 billion tax cut.","Gerald Ford"
"1975-04-04 12:00 PM","","No","Day","04/04/1975: Unemployment rises to 8.7 percent, the highest sin…","Unemployment rises to 8.7 percent, the highest since 1941. ","Gerald Ford"
"1975-04-11 12:00 PM","","No","Day","04/11/1975: Cambodia falls to Khmer Rouge.…","Cambodia falls to Khmer Rouge.","Gerald Ford"
"1975-05-12 12:00 PM","","No","Day","05/12/1975: Cambodia seizes the U.S. merch…","Cambodia seizes the U.S. merchant ship <em>Mayaguez</em> in the Gulf of Siam and takes its crew hostage. ","Gerald Ford"
"1975-05-14 12:00 PM","","No","Day","05/14/1975: Marines move onto Koh Tang, an island off the shor…","Marines move onto Koh Tang, an island off the shore of Cambodia believed to hold the captured sailors of the <em>Mayaguez</em>. Fierce fighting kills fifteen Marines, but the sailors are not found. Ford orders airstrikes on the Cambodian mainland. At 10:35 PM, the crew of the <em>Mayaguez</em> is released.","Gerald Ford"
"1975-05-27 12:00 PM","","No","Day","05/27/1975: Ford addresses the nation on the U.S. energy polic…","Ford addresses the nation on the U.S. energy policy.","Gerald Ford"
"1975-06-06 12:00 PM","","No","Day","06/06/1975: Unemployment reaches its highest point at 9.2 perc…","Unemployment reaches its highest point at 9.2 percent.","Gerald Ford"
"1975-06-19 12:00 PM","","No","Day","06/19/1975: The President establishes the President Ford Commi…","The President establishes the President Ford Committee to run his 1976 nomination for the presidential election. ","Gerald Ford"
"1975-07-08 12:00 PM","","No","Day","07/08/1975: Ford officially announces his candidacy for the 19…","Ford officially announces his candidacy for the 1976 presidential election. ","Gerald Ford"
"1975-07-26 12:00 PM","","No","Day","07/26/1975: President Ford leaves on his second trip to Europe…","President Ford leaves on his second trip to Europe, where he will sign the Helsinki Accords on European security and cooperation. ","Gerald Ford"
"1975-08-10 12:00 PM","","No","Day","08/10/1975: First Lady Betty Ford shocks the nation when on th…","First Lady Betty Ford shocks the nation when on the “60 Minutes” television show, she speaks candidly on topics such as extra-marital affairs and marijuana and admits to strongly favoring the Supreme Court's ruling making abortion legal.","Gerald Ford"
"1975-09-04 12:00 PM","","No","Day","09/04/1975: Egypt and Israel sign the second-stage Sinai withd…","Egypt and Israel sign the second-stage Sinai withdrawal agreement.","Gerald Ford"
"1975-09-05 12:00 PM","","No","Day","09/05/1975: Lynette “Squeaky” Fromme attempts to assassinate P…","Lynette “Squeaky” Fromme attempts to assassinate President Ford in San Francisco.","Gerald Ford"
"1975-10-06 12:00 PM","","No","Day","10/06/1975: Ford addresses the nation via television asking fo…","Ford addresses the nation via television asking for a reduction of $28 billion in taxes and spending.","Gerald Ford"
"1975-10-29 12:00 PM","","No","Day","10/29/1975: Ford refuses to give federal economic aid to New Y…","Ford refuses to give federal economic aid to New York City. Instead he advises the city to use financial restraint. The next day, the headline of the New York <em>Daily News</em> reads: "Ford to City&mdash;Drop Dead."","Gerald Ford"
"1975-11-02 12:00 PM","","No","Day","11/02/1975: In what is dubbed by the press as the “Sunday Morn…","In what is dubbed by the press as the “Sunday Morning Massacre,” Henry Kissinger gives up his position as national security adviser but retains the post of secretary of state; William Colby is fired as director of Central Intelligence, and James Schlesinger is fired as secretary of defense. ","Gerald Ford"
"1975-11-04 12:00 PM","","No","Day","11/04/1975: Ford names Donald Rumsfeld secretary of defense, E…","Ford names Donald Rumsfeld secretary of defense, Eliot Richardson secretary of commerce, and George H.W. Bush director of the CIA. He also appoints Brent Scowcroft national security adviser and Richard Cheney White House chief of staff. ","Gerald Ford"
"1975-11-04 12:00 PM","","No","Day","11/04/1975: Rockefeller withdraws his name for consideration f…","Rockefeller withdraws his name for consideration for the vice presidency in the 1976 presidential election. ","Gerald Ford"
"1975-11-20 12:00 PM","","No","Day","11/20/1975: Former California governor Ronald Reagan announces…","Former California governor Ronald Reagan announces that he will challenge Ford for the Republican nomination for President.","Gerald Ford"
"1975-11-27 12:00 PM","","No","Day","11/27/1975: Following a tax increase by the New York state leg…","Following a tax increase by the New York state legislature and an agreement by banks and teachers unions preventing New York City from falling into default, Ford requests $2.3 billion in U.S. loans for the city. ","Gerald Ford"
"1975-12-22 12:00 PM","","No","Day","12/22/1975: Ford signs the Energy Policy Conservatio…","Ford signs the Energy Policy Conservation Act.","Gerald Ford"
"1976-01-19 12:00 PM","","No","Day","01/19/1976: Ford gives his State of the Union addres…","Ford gives his State of the Union address. ","Gerald Ford"
"1976-01-30 12:00 PM","","No","Day","01/30/1976: The Supreme Court rules on the Federal Election Ca…","The Supreme Court rules on the Federal Election Campaign Act. ","Gerald Ford"
"1976-02-07 12:00 PM","","No","Day","02/07/1976: The Labor Department reports that the unemployment…","The Labor Department reports that the unemployment rate dropped substantially from December to January, from 8.3 percent to 7.8 percent. ","Gerald Ford"
"1976-02-17 12:00 PM","","No","Day","02/17/1976: Ford asserts that the governme…","Ford asserts that the government's intelligence community will undergo reorganization.","Gerald Ford"
"1976-02-24 12:00 PM","","No","Day","02/24/1976: Ford beats Ronald Reagan in the New Hampshire prim…","Ford beats Ronald Reagan in the New Hampshire primary, winning 51 percent of the vote.","Gerald Ford"
"1976-03-01 12:00 PM","","No","Day","03/01/1976: Under pressure from Reagan and more conservative R…","Under pressure from Reagan and more conservative Republicans, Ford agrees not to use the word “d&eacute;tente.” ","Gerald Ford"
"1976-03-24 12:00 PM","","No","Day","03/24/1976: The Concorde supersonic jet makes its first flight…","The Concorde supersonic jet makes its first flight between Europe and the United States. ","Gerald Ford"
"1976-04-16 12:00 PM","","No","Day","04/16/1976: In resolving an inter-agency dispute, Ford decides…","In resolving an inter-agency dispute, Ford decides to build up the country's strategic oil reserve in order to protect the United States from another foreign embargo.","Gerald Ford"
"1976-04-20 12:00 PM","","No","Day","04/20/1976: During the first quarter of 1976, the GNP rises to…","During the first quarter of 1976, the GNP rises to 7.5 percent. Inflation is at 3.7 percent.","Gerald Ford"
"1976-05-14 12:00 PM","","No","Day","05/14/1976: Ford asks Congress to accept a timetable for exten…","Ford asks Congress to accept a timetable for extensive reform of the government's regulatory program and agencies.","Gerald Ford"
"1976-05-18 12:00 PM","","No","Day","05/18/1976: Ford approves congressional revisions in the Feder…","Ford approves congressional revisions in the Federal Elections Commission and Federal Election Campaign Act to permit resumption of federal check-off subsidies for all presidential campaigns. ","Gerald Ford"
"1976-05-28 12:00 PM","","No","Day","05/28/1976: Fords signs a treaty with the Soviet Union limitin…","Fords signs a treaty with the Soviet Union limiting underground nuclear testing.","Gerald Ford"
"1976-06-20 12:00 PM","","No","Day","06/20/1976: Following the murder of the American ambassador an…","Following the murder of the American ambassador and his aide, Ford orders the evacuation of 116 Americans and 146 third-country nationals from Lebanon.","Gerald Ford"
"1976-07-04 12:00 PM","","No","Day","07/04/1976: The nation celebrates its Bicentennial. President …","The nation celebrates its Bicentennial. President Ford speaks at Valley Forge and Independence Hall.","Gerald Ford"
"1976-07-15 12:00 PM","","No","Day","07/15/1976: Former Georgia governor Jimmy Carter wins the Demo…","Former Georgia governor Jimmy Carter wins the Democratic nomination for the presidency.","Gerald Ford"
"1976-07-21 12:00 PM","","No","Day","07/21/1976: Viking I lands on Mars","Viking I lands on Mars.","Gerald Ford"
"1976-07-21 12:00 PM","","No","Day","07/21/1976: The inflation rate drops from 12.2 in the latter m…","The inflation rate drops from 12.2 in the latter months of 1974 to 4.6 in the first six months of 1976.","Gerald Ford"
"1976-08-06 12:00 PM","","No","Day","08/06/1976: The Labor Department announces that employment has…","The Labor Department announces that employment has risen by 3.8 million people since March 1975.","Gerald Ford"
"1976-08-19 12:00 PM","","No","Day","08/19/1976: After a hard fought battle against former Governor…","After a hard fought battle against former Governor Ronald Reagan of California, the Republican National Convention nominates Ford as its presidential candidate (Ford wins with 1,187 votes to Reagan's 1,070). Ford selects Senator Robert Dole from Kansas as his running-mate.","Gerald Ford"
"1976-08-25 12:00 PM","","No","Day","08/25/1976: James A. Baker becomes Ford's campaign m…","James A. Baker becomes Ford's campaign manager.","Gerald Ford"
"1976-09-09 12:00 PM","","No","Day","09/09/1976: Mao Zedong dies, leaving China in a state of unres…","Mao Zedong dies, leaving China in a state of unrest. ","Gerald Ford"
"1976-09-13 12:00 PM","","No","Day","09/13/1976: Ford signs the “sunshine” law and vetoes governmen…","Ford signs the “sunshine” law and vetoes government funding for a prototype electrical automobile engine, which Congress and the Senate override soon thereafter. The veto marks Ford's fifty-six while in office.","Gerald Ford"
"1976-09-26 12:00 PM","","No","Day","09/26/1976: The first Ford-Carter Debate, held in Philadelphia…","The first Ford-Carter Debate, held in Philadelphia's Walnut Theatre, centers on domestic policy.","Gerald Ford"
"1976-10-06 12:00 PM","","No","Day","10/06/1976: Carter wins the second debate in San Francisco, wi…","Carter wins the second debate in San Francisco, with Ford making a large blunder, declaring that there "is no Soviet domination of Eastern Europe and never will be under a Ford administration."","Gerald Ford"
"1976-10-12 12:00 PM","","No","Day","10/12/1976: Ford is pelted with eggs by an antagonistic crowd …","Ford is pelted with eggs by an antagonistic crowd while campaigning in New York City. ","Gerald Ford"
"1976-10-21 12:00 PM","","No","Day","10/21/1976: A Gallup poll shows Ford reducing the gap between …","A Gallup poll shows Ford reducing the gap between Carter and himself to 6 percent. ","Gerald Ford"
"1976-10-22 12:00 PM","","No","Day","10/22/1976: The third presidential debate is held at the Colle…","The third presidential debate is held at the College of William and Mary in Williamsburg, Virginia. Carter edges ahead in the race. ","Gerald Ford"
